Ser,Locations,Temperature,,,,
842,Qassar Noon,17.80,,,,
843,Al Gazara,18.40,,,,
844,Dam,18.20,,,,
845,Fa'ash,18.20,,,,
846,Qita’at Jarada,17.40,,,,
847,Suhain,18.10,,,,
848,Al Jasra,13.50,,,,
849,Bartfi,14.40,,,,
850,Gassar,16.10,,,,
851,Jazirat Ya’suf,15.20,,,,
852,Khor fasht,15.00,,,,
853,Marwada,14.60,,,,
854,Umm Al na'asan,16.30,,,,
855,Abu Lthama,19.60,,,,
856,Al Jarim,15.30,,,,
857,Bo Omamah,19.50,,,,
858,Najwat Abu Lthama,20.10,,,,
859,Shtaya,17.70,,,,
860,Sura,15.20,,,,
861,Al Gaha,24.10,,,,
862,Askar,24.30,,,,
863,Bapco,24.50,,,,
864,Fasht Tighalib,24.40,,,,
865,Ghumais,24.80,,,,
866,Jabbari,24.30,,,,
867,Mashtan,24.60,,,,
868,Msoor,24.80,,,,
869,Qassar Noon,24.00,,,,
870,Al Gazara,24.00,,,,
871,Dam,23.70,,,,
872,Fa'ash,23.80,,,,
873,Qita’at Jarada,24.00,,,,
874,Suhain,24.10,,,,
875,Al Jarim,24.10,,,,
876,Al Jasra,25.40,,,,
877,Bartfi,24.80,,,,
878,Gassar,24.30,,,,
879,Jazirat Ya’suf,25.40,,,,
880,Khor fasht,24.70,,,,
881,Marwada,24.20,,,,
882,Umm Al na'asan,24.20,,,,
883,Abu Lthama,23.10,,,,
884,Bo Omamah,23.00,,,,
885,Najwat Abu Lthama,23.30,,,,
886,Shtaya,23.70,,,,
887,Sura,25.50,,,,
888,Al Jasra,35.20,,,,
889,Bartfi,35.20,,,,
890,Gassar,35.30,,,,
891,Jazirat Ya’suf,35.10,,,,
892,Umm Al na'asan,34.80,,,,
893,Abu Lthama,34.10,,,,
894,Al Jarim,35.00,,,,
895,Bo Omamah,34.20,,,,
896,Najwat Abu Lthama,34.10,,,,
897,Ritz Carlton,35.7,,,,
898,Shtaya,35.40,,,,
899,Al Gaha,35.20,,,,
900,Askar,35.50,,,,
901,Bapco,35.80,,,,
902,Fasht Tighalib,35.10,,,,
903,Ghumais,35.30,,,,
904,Jabbari,35.30,,,,
905,Mashtan,35.20,,,,
906,Msoor,35.50,,,,
907,Qassar Noon,35.20,,,,
908,Al Gazara,35.20,,,,
909,Dam,35.00,,,,
910,Fa'ash,35.30,,,,
911,Khor fasht,34.60,,,,
912,Marwada,34.90,,,,
913,Qita’at Jarada,35.10,,,,
914,Suhain,34.50,,,,
915,Sura,34.70,,,,
916,Al Gaha,28.70,,,,
917,Askar,27.70,,,,
918,Bapco,28.50,,,,
919,Fasht Tighalib,28.50,,,,
920,Ghumais,28.60,,,,
921,Jabbari,28.60,,,,
922,Mashtan,28.50,,,,
923,Msoor,28.10,,,,
924,Qassar Noon,28.50,,,,
925,Al Gazara,29.00,,,,
926,Dam,29.00,,,,
927,Fa'ash,29.00,,,,
928,Qita’at Jarada,29.00,,,,
929,Ritz Carlton,29.90,,,,
930,Suhain,28.70,,,,
931,Al Jarim,28.80,,,,
932,Khor fasht,28.60,,,,
933,Marwada,28.60,,,,
934,Abu Lthama,27.70,,,,
935,Bo Omamah,27.50,,,,
936,Najwat Abu Lthama,27.90,,,,
937,Shtaya,26.50,,,,
938,Sura,24.20,,,,
939,Al Jasra,23.70,,,,
940,Bartafi,24.50,,,,
941,Jazirat Ya’suf,24.40,,,,
942,Qassar,25.60,,,,
943,Umm Al na'asan,25.70,,,,
